1,"‘That’ll Be $3,’ Says Trump After Handing Water Bottle To Sick Ohio Resident","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/a30d02609da7e7ddb46d6edea9460d5e.jpg"
2,"Gondoliers Gasp, Flop Uncontrollably After Venice Canals Drained From Drought","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/e1a17383a8cc897d0aebcff1cf04254c.jpg"
3,Report: More Italians Choosing Environmentally Friendly Option Of Being Baked Into Burial Lasagna,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/1c06e5f6f6bb053c9de245dd17216c5c.jpg"
4,"If Sci-Fi World Not Alien Enough For You, Here Come 2 Suns","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/d9f653f7056cdc60332dded81653224a.jpg"
5,Green Comet Slows Down To Gawk As It Passes Totally Wrecked Planet,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/5eda163a6a900b803a36d43e4d159ada.jpg"
6,U.S. Blows Itself Up So China Can’t Have It,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/79de5c8f23a64f3a3e36401f61ddf62c.jpg"
7,Nationwide Flight Disruption Lasts Almost Long Enough For Pilot To Sober Up,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/bef82d5b4689adfbae2f0d7d4761b25b.jpg"
8,Fugitive Bolsonaro Coup Supporters Hide Deep In Amazon Rainforest’s Last Remaining Tree,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/f06b11d30450a69a5d938266e26267f8.jpg"
9,Plume Of Smoke Above Vatican Signals Last Evidence Of Abuse Has Been Burned,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/168e0e618798f74cd97325b85016aba5.jpg"
10,"BREAKING: 129,600… 129,599… 129,598…","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/3bc9d3290705523d89a8bd272e73a619.jpg"
11,"Nation’s 56,000 Acres Of Spinach Crops Cooked Down To Single Half-Cup Serving","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/bacc423032c7e3c49174f92b9f9a25e4.jpg"
12,Campbell’s Introduces New Line Of Extra Hearty One-Chunk Soups,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/67f59f1d651cedc09c08427f5877f723.jpg"
13,"Saudis Celebrate Shocking World Cup Win By Flipping Over A Woman, Setting Her On Fire","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/c3ba9dae5f780e3835d776ba2b4acfd7.jpg"
14,Jay Leno Rushed To Hospital For Emergency Denim Grafts,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/b2885041de7277dc9d0baab46a0739db.jpg"
15,"‘Holy Shit, This Past Week Has Been Really Hard On Him,’ Says Man Seeing Disheveled Sam Bankman-Fried Photo From 2021","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/64cb9025d1d98fb9161749369995ff54.jpg"
16,Tearful U.N. Secretary Holds Up Glacier’s Remains As Dire Climate Warning,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/97c17bac82df63a14626c727c2ed88e1.jpg"
17,Bullied Loner Plans Office Shooting,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/d7fe2442d2edd64d21ed539c307266c2.jpg"
18,Twitter Employee Unsure If Email He Received With Vince McMahon Meme Means He Laid Off Or Not,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/d04537657236b5ed275b482cccb88b39.jpg"
19,L.A. Replaces Grass With 6-Inch Metal Spikes To Prevent Homeless From Sleeping In Parks,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/11b63facec1deae7feae96a92cec53eb.jpg"
20,World Hunger Activists Throw Oil On Pelican To Protest Climate Activists Wasting Soup,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/74f1280006d4a1f59ac6b3a4642e4f3a.jpg"
21,Gatorade Introduces Shareable Multi-Teat Bottle,"https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/09cecc3c0f4a9505d2a6d043adf359e8.jpg"
22,"Report: Hey, Pal, Our Headline Is Up Here","https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,q_60,w_645/53c88973db787f2cb70096b7cc6369a3.jpg"
